S.No,Name,Roll No,Reg No,Department,Course,Address,College,Mobile No,CGPA
63,Emma Jones,CDM852,WXEAH1V9,Computer Science and engineering,B.E,"348 New York, IL",Anna University,3600403391,3.3
64,Matthew Davis,JJT466,ZDU69WY9,Computer Science and engineering,B.E,"737 San Diego, CA",Anna University,4231399882,2.98
65,John Jones,JCY923,3E6V31OX,Computer Science and engineering,B.E,"332 Phoenix, PA",Anna University,1094539860,2.7
66,Emma Brown,KAP886,YOQQCG0T,Computer Science and engineering,B.E,"408 Houston, PA",Anna University,2490194254,2.78
67,John Jones,ONO189,MG2IIVJC,Computer Science and engineering,B.E,"309 Los Angeles, IL",Anna University,9046925546,3.64
68,Isabella Wilson,OFM571,R8XK679Z,Computer Science and engineering,B.E,"935 San Jose, NY",Anna University,7473283194,2.99
69,Emma Smith,OPJ599,C5CYCTGH,Computer Science and engineering,B.E,"224 Chicago, TX",Anna University,9877938620,2.65
70,Emma Moore,SSG436,AWK3U0EF,Computer Science and engineering,B.E,"363 San Diego, TX",Anna University,8536430908,3.14
71,John Moore,ETO067,C50BHWWI,Computer Science and engineering,B.E,"987 Dallas, IL",Anna University,3516282260,2.77
72,Isabella Brown,FWP577,ED1TDN8A,Computer Science and engineering,B.E,"566 Chicago, NY",Anna University,0217449000,3.95
73,Isabella Miller,PEG638,8O9Y61CP,Computer Science and engineering,B.E,"342 New York, NY",Anna University,0084115964,3.6
74,John Taylor,XEN166,C1BL83YE,Computer Science and engineering,B.E,"522 Los Angeles, CA",Anna University,0238371464,2.44
75,Isabella Taylor,IJO378,QEUMSH2F,Computer Science and engineering,B.E,"966 San Jose, TX",Anna University,4418708565,2.28
76,Isabella Davis,ZMZ003,6PWS7J87,Computer Science and engineering,B.E,"266 Dallas, PA",Anna University,9932353309,3.04
77,Sophia Wilson,ZMP869,9RYLBRFM,Computer Science and engineering,B.E,"680 New York, CA",Anna University,4551621082,2.33
78,Matthew Jones,YYK401,XPOTGALE,Computer Science and engineering,B.E,"202 Dallas, IL",Anna University,3509595333,3.62
79,Ava Wilson,OTB065,YM3DZYTQ,Computer Science and engineering,B.E,"971 San Diego, PA",Anna University,7221589102,2.98
80,James Davis,FUD531,COTCDO3R,Computer Science and engineering,B.E,"899 San Diego, PA",Anna University,0877256977,3.4
81,Olivia Davis,UAC935,UUCWPWC6,Computer Science and engineering,B.E,"149 Philadelphia, TX",Anna University,9323308895,3.98
82,Olivia Moore,UMT891,ABDIHW5I,Computer Science and engineering,B.E,"889 San Jose, PA",Anna University,4976673978,3.2
83,Matthew Taylor,TLK585,PPX3PHFQ,Computer Science and engineering,B.E,"595 Phoenix, IL",Anna University,8552116603,2.94
84,James Taylor,EVQ278,21STKYBP,Computer Science and engineering,B.E,"699 Phoenix, NY",Anna University,0201565120,2.24
85,William Miller,BLN386,RZFBBYZN,Computer Science and engineering,B.E,"421 Phoenix, NY",Anna University,1607482784,3.51
86,Sophia Wilson,GKY165,AO4VBXLM,Computer Science and engineering,B.E,"840 San Diego, PA",Anna University,8419535609,2.7
87,Olivia Wilson,URS276,PVJUHFU4,Computer Science and engineering,B.E,"901 San Antonio, CA",Anna University,6853415853,3.65
88,John Taylor,KTU627,9617W3ZZ,Computer Science and engineering,B.E,"608 Houston, TX",Anna University,7597030185,2.0
89,Olivia Moore,MZF791,0QTSRFPS,Computer Science and engineering,B.E,"836 Los Angeles, TX",Anna University,7335639972,3.8
90,William Wilson,FJD931,R91U7ML4,Computer Science and engineering,B.E,"799 San Antonio, CA",Anna University,8417593311,2.64
91,Sophia Williams,UMO576,RXC1AFSS,Computer Science and engineering,B.E,"365 San Diego, CA",Anna University,6934055622,2.6
92,James Johnson,HGF502,D0CQFXMW,Computer Science and engineering,B.E,"291 Philadelphia, CA",Anna University,5740927531,2.51
93,John Jones,HTC817,EHTMA4T9,Computer Science and engineering,B.E,"413 Philadelphia, TX",Anna University,6141614350,2.87
94,Isabella Miller,IRE642,WMQRKHC2,Computer Science and engineering,B.E,"351 Los Angeles, IL",Anna University,0042900340,2.42
95,William Wilson,IYR366,12E2SZUU,Computer Science and engineering,B.E,"561 Houston, TX",Anna University,7794794514,3.58
96,William Jones,RWT234,2QT7FNYA,Computer Science and engineering,B.E,"812 San Antonio, CA",Anna University,4287247862,2.49
97,Olivia Taylor,LIC425,D0GFVBUU,Computer Science and engineering,B.E,"644 San Antonio, IL",Anna University,3265469670,2.53
98,William Smith,ISE126,1R7RZMFY,Computer Science and engineering,B.E,"343 Chicago, PA",Anna University,4588575346,3.52
99,Matthew Jones,MDZ546,MB2TZAGA,Computer Science and engineering,B.E,"256 New York, NY",Anna University,9031262287,2.24
100,Isabella Taylor,LIH672,NJLTERAE,Computer Science and engineering,B.E,"769 San Diego, PA",Anna University,5553900770,3.98
